"dataset","obs.interval","node.degree","eccdf"
"shed1",5,1,0.2441
"shed1",5,2,0.081
"shed1",5,3,0.0288
"shed1",5,4,0.0104
"shed1",5,5,0.0045
"shed1",5,7,0.0015
"shed1",5,6,0.0024
"shed1",5,8,8e-04
"shed1",5,9,3e-04
"shed1",10,1,0.2461
"shed1",10,2,0.0839
"shed1",10,3,0.0293
"shed1",10,4,0.0114
"shed1",10,5,0.0051
"shed1",10,7,0.0015
"shed1",10,6,0.0026
"shed1",10,8,9e-04
"shed1",10,9,3e-04
"shed1",30,1,0.2445
"shed1",30,2,0.0835
"shed1",30,3,0.03
"shed1",30,4,0.0108
"shed1",30,5,0.0044
"shed1",30,9,5e-04
"shed1",30,6,0.0021
"shed1",30,7,0.0018
"shed1",30,8,0.001
"shed1",30,10,3e-04
"shed1",60,1,0.2394
"shed1",60,2,0.0841
"shed1",60,3,0.0313
"shed1",60,4,0.0082
"shed1",60,5,0.0026
"shed1",60,6,0.0021
"shed1",60,7,0.0015
"shed1",60,8,5e-04
"shed1",90,1,0.2568
"shed1",90,2,0.0928
"shed1",90,4,0.0155
"shed1",90,3,0.034
"shed1",90,5,0.007
"shed1",90,9,8e-04
"shed1",90,6,0.0031
"shed1",90,7,0.0023
"shed1",90,8,0.0015
"shed1",180,1,0.2441
"shed1",180,2,0.0861
"shed1",180,4,0.0125
"shed1",180,3,0.0297
"shed1",180,5,0.0047
"shed1",180,6,0.0031
"shed1",180,7,0.0016
"shed1",360,1,0.2248
"shed1",360,4,0.0098
"shed1",360,2,0.0782
"shed1",360,3,0.0228
"shed2",5,1,0.0811
"shed2",5,2,0.0132
"shed2",5,3,0.0035
"shed2",5,4,4e-04
"shed2",10,1,0.0815
"shed2",10,2,0.0128
"shed2",10,3,0.0032
"shed2",10,4,4e-04
"shed2",30,1,0.0849
"shed2",30,2,0.0132
"shed2",30,3,0.0032
"shed2",30,4,4e-04
"shed2",60,1,0.081
"shed2",60,2,0.01
"shed2",60,3,0.0028
"shed2",90,1,0.0825
"shed2",90,2,0.0169
"shed2",90,3,0.0011
"shed2",180,1,0.0716
"shed2",180,2,0.0105
"shed2",180,3,0.0021
"shed2",360,1,0.0636
"shed2",360,2,0.0182
"shed2",360,3,0.0045
"shed7",5,1,0.0231
"shed7",5,2,9e-04
"shed7",10,1,0.0221
"shed7",10,2,9e-04
"shed7",30,1,0.0221
"shed7",30,2,0.001
"shed7",60,1,0.0227
"shed7",60,2,0.001
"shed7",90,1,0.0243
"shed7",90,2,0.0015
"shed7",180,1,0.025
"shed7",180,2,0.0015
"shed7",360,1,0.017
"shed8",5,1,0.0363
"shed8",5,2,0.0086
"shed8",5,3,0.0012
"shed8",10,1,0.0364
"shed8",10,2,0.0087
"shed8",10,3,0.001
"shed8",30,1,0.0368
"shed8",30,2,0.0091
"shed8",30,3,0.002
"shed8",60,1,0.0368
"shed8",60,2,0.01
"shed8",60,3,0.002
"shed8",90,1,0.0348
"shed8",90,2,0.0072
"shed8",90,3,0.002
"shed8",180,1,0.0331
"shed8",180,2,0.0078
"shed8",180,3,0.0019
"shed8",360,1,0.0385
"shed8",360,2,0.0115
"shed9",5,1,0.0019
"shed9",10,1,0.0014
"shed9",30,1,0.0023
"shed9",60,1,8e-04
"shed9",90,1,0.0057
"shed9",180,1,0.0023
"shed9",360,1,0.0047
