"dataset","obs.interval","node.degree","eccdf"
"shed1",5,1,0.2441
"shed1",5,2,0.081
"shed1",5,3,0.0288
"shed1",5,4,0.0104
"shed1",5,5,0.0045
"shed1",5,7,0.0015
"shed1",5,6,0.0024
"shed1",5,8,8e-04
"shed1",5,9,3e-04
"shed1",10,1,0.2893
"shed1",10,2,0.1093
"shed1",10,3,0.0451
"shed1",10,5,0.0081
"shed1",10,4,0.0186
"shed1",10,6,0.0037
"shed1",10,7,0.0017
"shed1",10,8,9e-04
"shed1",10,9,4e-04
"shed1",10,10,2e-04
"shed1",30,1,0.3542
"shed1",30,3,0.078
"shed1",30,2,0.1548
"shed1",30,5,0.0179
"shed1",30,4,0.0395
"shed1",30,7,0.0052
"shed1",30,6,0.0085
"shed1",30,8,0.0023
"shed1",30,9,9e-04
"shed1",30,11,2e-04
"shed1",30,10,5e-04
"shed1",60,1,0.3954
"shed1",60,5,0.0298
"shed1",60,4,0.0598
"shed1",60,2,0.1855
"shed1",60,6,0.017
"shed1",60,3,0.1006
"shed1",60,7,0.0089
"shed1",60,9,0.0018
"shed1",60,8,0.0054
"shed1",60,11,3e-04
"shed1",60,10,0.0015
"shed1",90,1,0.425
"shed1",90,5,0.0424
"shed1",90,4,0.074
"shed1",90,2,0.2061
"shed1",90,7,0.0128
"shed1",90,3,0.1204
"shed1",90,6,0.0236
"shed1",90,9,0.004
"shed1",90,8,0.0068
"shed1",90,10,0.0028
"shed1",90,11,8e-04
"shed1",90,12,4e-04
"shed1",180,1,0.4838
"shed1",180,2,0.2549
"shed1",180,8,0.0136
"shed1",180,4,0.1012
"shed1",180,3,0.1537
"shed1",180,9,0.0097
"shed1",180,5,0.0642
"shed1",180,10,0.0039
"shed1",180,6,0.0389
"shed1",180,7,0.0233
"shed1",180,14,6e-04
"shed1",180,12,0.0019
"shed1",180,13,0.0013
"shed1",180,11,0.0032
"shed1",360,1,0.5495
"shed1",360,2,0.3218
"shed1",360,8,0.0238
"shed1",360,4,0.1297
"shed1",360,3,0.199
"shed1",360,12,0.005
"shed1",360,5,0.0911
"shed1",360,11,0.0069
"shed1",360,7,0.0327
"shed1",360,6,0.0535
"shed1",360,9,0.0198
"shed1",360,10,0.0099
"shed1",360,14,0.003
"shed1",360,13,0.004
"shed1",360,15,0.001
"shed2",5,1,0.0811
"shed2",5,2,0.0132
"shed2",5,3,0.0035
"shed2",5,4,4e-04
"shed2",10,1,0.0947
"shed2",10,2,0.0173
"shed2",10,3,0.0061
"shed2",10,4,0.0011
"shed2",10,5,1e-04
"shed2",30,1,0.1281
"shed2",30,2,0.0288
"shed2",30,3,0.0113
"shed2",30,4,0.003
"shed2",30,5,8e-04
"shed2",60,1,0.1614
"shed2",60,2,0.0451
"shed2",60,3,0.0167
"shed2",60,4,0.0064
"shed2",60,5,0.002
"shed2",90,1,0.1859
"shed2",90,2,0.0566
"shed2",90,3,0.0266
"shed2",90,4,0.0093
"shed2",90,6,7e-04
"shed2",90,5,0.0033
"shed2",180,1,0.236
"shed2",180,2,0.0819
"shed2",180,3,0.0431
"shed2",180,4,0.0162
"shed2",180,5,0.0065
"shed2",180,6,0.0022
"shed2",360,1,0.3059
"shed2",360,2,0.121
"shed2",360,5,0.0168
"shed2",360,3,0.0672
"shed2",360,4,0.037
"shed2",360,7,0.005
"shed2",360,6,0.0067
"shed7",5,1,0.0231
"shed7",5,2,9e-04
"shed7",10,1,0.0305
"shed7",10,2,0.0017
"shed7",30,1,0.0482
"shed7",30,2,0.0043
"shed7",30,3,2e-04
"shed7",60,1,0.0677
"shed7",60,2,0.0062
"shed7",60,3,7e-04
"shed7",90,1,0.0867
"shed7",90,2,0.0076
"shed7",90,3,9e-04
"shed7",180,1,0.1134
"shed7",180,3,0.0015
"shed7",180,2,0.011
"shed7",360,1,0.1421
"shed7",360,2,0.018
"shed7",360,3,0.0045
"shed8",5,1,0.0363
"shed8",5,2,0.0086
"shed8",5,3,0.0012
"shed8",10,1,0.0444
"shed8",10,2,0.0122
"shed8",10,3,0.0023
"shed8",30,1,0.0603
"shed8",30,2,0.0168
"shed8",30,3,0.0047
"shed8",30,4,9e-04
"shed8",60,1,0.0713
"shed8",60,2,0.0181
"shed8",60,3,0.0051
"shed8",60,4,0.0012
"shed8",90,1,0.0764
"shed8",90,2,0.0191
"shed8",90,3,0.0057
"shed8",90,4,0.0015
"shed8",90,5,5e-04
"shed8",180,1,0.1115
"shed8",180,2,0.0261
"shed8",180,3,0.0069
"shed8",180,4,0.0023
"shed8",180,5,8e-04
"shed8",360,1,0.1685
"shed8",360,2,0.0486
"shed8",360,3,0.0086
"shed8",360,4,0.0043
"shed8",360,5,0.0011
"shed9",5,1,0.0019
"shed9",10,1,0.0044
"shed9",30,1,0.015
"shed9",30,2,0.0014
"shed9",60,1,0.0242
"shed9",60,2,0.0033
"shed9",90,1,0.0387
"shed9",90,2,0.005
"shed9",180,1,0.0784
"shed9",180,2,0.0121
"shed9",360,1,0.1184
"shed9",360,2,0.0257
"shed9",360,3,0.0013
