"dataset","obs.interval","node.degree","eccdf"
"shed1",5,18,0.1212
"shed1",5,16,0.2121
"shed1",5,13,0.2727
"shed1",5,17,0.1818
"shed1",5,19,0.0909
"shed1",5,9,0.4545
"shed1",5,10,0.3939
"shed1",5,11,0.3636
"shed1",5,7,0.697
"shed1",5,8,0.6667
"shed1",5,4,0.8182
"shed1",5,3,0.8788
"shed1",5,5,0.7576
"shed1",5,2,0.9091
"shed1",5,1,0.9697
"shed1",10,16,0.0909
"shed1",10,17,0.0606
"shed1",10,15,0.1818
"shed1",10,10,0.303
"shed1",10,9,0.3636
"shed1",10,13,0.2424
"shed1",10,8,0.5152
"shed1",10,18,0.0303
"shed1",10,5,0.7273
"shed1",10,12,0.2727
"shed1",10,7,0.6364
"shed1",10,1,0.9394
"shed1",10,6,0.697
"shed1",10,2,0.8485
"shed1",10,4,0.8182
"shed1",30,12,0.1143
"shed1",30,11,0.2286
"shed1",30,18,0.0286
"shed1",30,3,0.8
"shed1",30,5,0.6286
"shed1",30,8,0.3143
"shed1",30,14,0.0857
"shed1",30,10,0.2571
"shed1",30,15,0.0571
"shed1",30,4,0.7429
"shed1",30,7,0.4571
"shed1",30,6,0.5429
"shed1",30,1,0.9143
"shed1",30,2,0.8286
"shed1",60,9,0.25
"shed1",60,11,0.1389
"shed1",60,18,0.0278
"shed1",60,16,0.0556
"shed1",60,8,0.2778
"shed1",60,3,0.6667
"shed1",60,10,0.2222
"shed1",60,5,0.5
"shed1",60,7,0.3333
"shed1",60,12,0.0833
"shed1",60,2,0.8056
"shed1",60,4,0.5833
"shed1",60,1,0.9444
"shed1",90,6,0.3243
"shed1",90,15,0.0541
"shed1",90,17,0.027
"shed1",90,9,0.2162
"shed1",90,7,0.2432
"shed1",90,3,0.6486
"shed1",90,11,0.1622
"shed1",90,5,0.3784
"shed1",90,12,0.1351
"shed1",90,10,0.1892
"shed1",90,13,0.1081
"shed1",90,2,0.7568
"shed1",90,4,0.5946
"shed1",90,1,0.8919
"shed1",180,6,0.2857
"shed1",180,10,0.1143
"shed1",180,12,0.0286
"shed1",180,8,0.1429
"shed1",180,4,0.4286
"shed1",180,3,0.5429
"shed1",180,11,0.0857
"shed1",180,7,0.2286
"shed1",180,2,0.6571
"shed1",180,5,0.3429
"shed1",180,1,0.8
"shed1",360,3,0.3548
"shed1",360,9,0.0645
"shed1",360,5,0.1613
"shed1",360,10,0.0323
"shed1",360,1,0.8065
"shed1",360,2,0.4839
"shed1",360,6,0.0968
"shed1",360,4,0.1935
"shed2",5,5,0.5926
"shed2",5,14,0.1111
"shed2",5,12,0.1852
"shed2",5,2,0.8519
"shed2",5,11,0.2593
"shed2",5,15,0.037
"shed2",5,7,0.4815
"shed2",5,10,0.3333
"shed2",5,4,0.6667
"shed2",5,8,0.4444
"shed2",5,3,0.7778
"shed2",5,1,0.9259
"shed2",10,5,0.5556
"shed2",10,13,0.037
"shed2",10,11,0.1852
"shed2",10,2,0.8148
"shed2",10,9,0.2593
"shed2",10,12,0.1111
"shed2",10,6,0.5185
"shed2",10,8,0.4074
"shed2",10,4,0.6667
"shed2",10,7,0.4444
"shed2",10,3,0.7778
"shed2",10,1,0.9259
"shed2",30,5,0.4615
"shed2",30,10,0.0769
"shed2",30,8,0.1538
"shed2",30,3,0.5769
"shed2",30,2,0.8077
"shed2",30,7,0.3462
"shed2",30,12,0.0385
"shed2",30,6,0.3846
"shed2",30,4,0.5385
"shed2",30,1,0.9615
"shed2",60,3,0.4615
"shed2",60,9,0.0769
"shed2",60,7,0.1154
"shed2",60,1,0.8846
"shed2",60,2,0.6538
"shed2",60,6,0.2308
"shed2",60,11,0.0385
"shed2",60,4,0.4231
"shed2",60,5,0.3462
