"dataset","obs.interval","node.degree","eccdf"
"shed1",5,18,0.1212
"shed1",5,16,0.2121
"shed1",5,13,0.2727
"shed1",5,17,0.1818
"shed1",5,19,0.0909
"shed1",5,9,0.4545
"shed1",5,10,0.3939
"shed1",5,11,0.3636
"shed1",5,7,0.697
"shed1",5,8,0.6667
"shed1",5,4,0.8182
"shed1",5,3,0.8788
"shed1",5,5,0.7576
"shed1",5,2,0.9091
"shed1",5,1,0.9697
"shed1",10,18,0.1212
"shed1",10,16,0.2121
"shed1",10,13,0.2727
"shed1",10,17,0.1818
"shed1",10,19,0.0909
"shed1",10,9,0.4545
"shed1",10,10,0.3939
"shed1",10,11,0.3636
"shed1",10,7,0.697
"shed1",10,8,0.6667
"shed1",10,4,0.8182
"shed1",10,3,0.8788
"shed1",10,5,0.7576
"shed1",10,2,0.9091
"shed1",10,1,0.9697
"shed1",30,18,0.1212
"shed1",30,16,0.2121
"shed1",30,13,0.2727
"shed1",30,17,0.1818
"shed1",30,19,0.0909
"shed1",30,9,0.4545
"shed1",30,10,0.3939
"shed1",30,11,0.3636
"shed1",30,7,0.697
"shed1",30,8,0.6667
"shed1",30,4,0.8182
"shed1",30,3,0.8788
"shed1",30,5,0.7576
"shed1",30,2,0.9091
"shed1",30,1,0.9697
"shed1",60,18,0.1212
"shed1",60,16,0.2121
"shed1",60,13,0.2727
"shed1",60,17,0.1818
"shed1",60,19,0.0909
"shed1",60,9,0.4545
"shed1",60,10,0.3939
"shed1",60,11,0.3636
"shed1",60,7,0.697
"shed1",60,8,0.6667
"shed1",60,4,0.8182
"shed1",60,3,0.8788
"shed1",60,5,0.7576
"shed1",60,2,0.9091
"shed1",60,1,0.9697
"shed1",90,18,0.1212
"shed1",90,16,0.2121
"shed1",90,13,0.2727
"shed1",90,17,0.1818
"shed1",90,19,0.0909
"shed1",90,9,0.4545
"shed1",90,10,0.3939
"shed1",90,11,0.3636
"shed1",90,7,0.697
"shed1",90,8,0.6667
"shed1",90,4,0.8182
"shed1",90,3,0.8788
"shed1",90,5,0.7576
"shed1",90,2,0.9091
"shed1",90,1,0.9697
"shed1",180,18,0.1212
"shed1",180,16,0.2121
"shed1",180,13,0.2727
"shed1",180,17,0.1818
"shed1",180,19,0.0909
"shed1",180,9,0.4545
"shed1",180,10,0.3939
"shed1",180,11,0.3636
"shed1",180,7,0.697
"shed1",180,8,0.6667
"shed1",180,4,0.8182
"shed1",180,3,0.8788
"shed1",180,5,0.7576
"shed1",180,2,0.9091
"shed1",180,1,0.9697
"shed1",360,18,0.1212
"shed1",360,16,0.2121
"shed1",360,13,0.2727
"shed1",360,17,0.1818
"shed1",360,19,0.0909
"shed1",360,9,0.4545
"shed1",360,10,0.3939
"shed1",360,11,0.3636
"shed1",360,7,0.697
"shed1",360,8,0.6667
"shed1",360,4,0.8182
"shed1",360,3,0.8788
"shed1",360,5,0.7576
"shed1",360,2,0.9091
"shed1",360,1,0.9697
"shed2",5,5,0.5926
"shed2",5,14,0.1111
"shed2",5,12,0.1852
"shed2",5,2,0.8519
"shed2",5,11,0.2593
"shed2",5,15,0.037
"shed2",5,7,0.4815
"shed2",5,10,0.3333
"shed2",5,4,0.6667
"shed2",5,8,0.4444
"shed2",5,3,0.7778
"shed2",5,1,0.9259
"shed2",10,5,0.5926
"shed2",10,14,0.1111
"shed2",10,12,0.1852
"shed2",10,2,0.8519
"shed2",10,11,0.2593
"shed2",10,15,0.037
"shed2",10,7,0.4815
"shed2",10,10,0.3333
"shed2",10,4,0.6667
"shed2",10,8,0.4444
"shed2",10,3,0.7778
"shed2",10,1,0.9259
"shed2",30,5,0.5926
"shed2",30,14,0.1111
"shed2",30,12,0.1852
"shed2",30,2,0.8519
