dataset,disease,downsample_method,data_collection,obs_interval,kld
shed1,flu,upperbound,repeat4times,10,0.015108923103358355
shed1,flu,upperbound,repeat4times,30,0.0475751307515516
shed1,flu,upperbound,repeat4times,60,0.07739879272249074
shed1,flu,upperbound,repeat4times,90,0.09128257591459653
shed1,flu,upperbound,repeat4times,180,0.11881840642568613
shed1,flu,upperbound,repeat4times,360,0.17683389448268402
shed1,SARS,upperbound,repeat4times,10,0.01627152985403432
shed1,SARS,upperbound,repeat4times,30,0.04443933883162297
shed1,SARS,upperbound,repeat4times,60,0.08176637813247721
shed1,SARS,upperbound,repeat4times,90,0.10862474748398684
shed1,SARS,upperbound,repeat4times,180,0.15478379458616542
shed1,SARS,upperbound,repeat4times,360,0.22445515958032958
shed1,fifth,upperbound,repeat4times,10,0.04102772436091527
shed1,fifth,upperbound,repeat4times,30,0.08241994445250292
shed1,fifth,upperbound,repeat4times,60,0.10840622202823429
shed1,fifth,upperbound,repeat4times,90,0.12582227089508585
shed1,fifth,upperbound,repeat4times,180,0.15217102340534197
shed1,fifth,upperbound,repeat4times,360,0.2054929114398116
shed1,pertussis,upperbound,repeat4times,10,0.010340927148187323
shed1,pertussis,upperbound,repeat4times,30,0.03352126746665818
shed1,pertussis,upperbound,repeat4times,60,0.050782832917372234
shed1,pertussis,upperbound,repeat4times,90,0.06162491482294486
shed1,pertussis,upperbound,repeat4times,180,0.08954395492690384
shed1,pertussis,upperbound,repeat4times,360,0.12849531124612107
shed1,chickenpox,upperbound,repeat4times,10,0.008009630432368348
shed1,chickenpox,upperbound,repeat4times,30,0.03174112879215564
shed1,chickenpox,upperbound,repeat4times,60,0.05655408697912254
shed1,chickenpox,upperbound,repeat4times,90,0.07501419952369952
shed1,chickenpox,upperbound,repeat4times,180,0.11658798492447772
shed1,chickenpox,upperbound,repeat4times,360,0.16788794817516306
shed1,MERS,upperbound,repeat4times,10,0.03517190589228994
shed1,MERS,upperbound,repeat4times,30,0.06998401870451705
shed1,MERS,upperbound,repeat4times,60,0.10309279653199646
shed1,MERS,upperbound,repeat4times,90,0.09968110144442117
shed1,MERS,upperbound,repeat4times,180,0.1429493996574036
shed1,MERS,upperbound,repeat4times,360,0.1754031278144936
shed1,diphtheria,upperbound,repeat4times,10,0.010457921705472897
shed1,diphtheria,upperbound,repeat4times,30,0.048956017076533964
shed1,diphtheria,upperbound,repeat4times,60,0.08511511682092103
shed1,diphtheria,upperbound,repeat4times,90,0.11137052574742135
shed1,diphtheria,upperbound,repeat4times,180,0.1543978117730509
shed1,diphtheria,upperbound,repeat4times,360,0.2118250116749412
shed1,measles,upperbound,repeat4times,10,0.00640566447042171
shed1,measles,upperbound,repeat4times,30,0.029134269514955582
shed1,measles,upperbound,repeat4times,60,0.05066597070611096
shed1,measles,upperbound,repeat4times,90,0.06844899830315673
shed1,measles,upperbound,repeat4times,180,0.09664727373862284
shed1,measles,upperbound,repeat4times,360,0.11546640006687592
shed1,covid19,upperbound,repeat4times,10,0.017489353784552925
shed1,covid19,upperbound,repeat4times,30,0.045921028487842304
shed1,covid19,upperbound,repeat4times,60,0.08798307800887786
shed1,covid19,upperbound,repeat4times,90,0.10574387684829961
shed1,covid19,upperbound,repeat4times,180,0.14323289155951957
shed1,covid19,upperbound,repeat4times,360,0.18933073433582237
shed1,covid19alpha,upperbound,repeat4times,10,0.012412350688673064
shed1,covid19alpha,upperbound,repeat4times,30,0.05168185610138405
shed1,covid19alpha,upperbound,repeat4times,60,0.09201875840053046
shed1,covid19alpha,upperbound,repeat4times,90,0.11714444554026002
shed1,covid19alpha,upperbound,repeat4times,180,0.140384740623159
shed1,covid19alpha,upperbound,repeat4times,360,0.1909132326977365
shed1,covid19beta,upperbound,repeat4times,10,0.012506731542791869
shed1,covid19beta,upperbound,repeat4times,30,0.049946282431286335
shed1,covid19beta,upperbound,repeat4times,60,0.08789685020730152
shed1,covid19beta,upperbound,repeat4times,90,0.11772975624572456
shed1,covid19beta,upperbound,repeat4times,180,0.14214670288124848
shed1,covid19beta,upperbound,repeat4times,360,0.19304194795879093
shed1,covid19delta,upperbound,repeat4times,10,0.014345703063648546
shed1,covid19delta,upperbound,repeat4times,30,0.051150483454796364
shed1,covid19delta,upperbound,repeat4times,60,0.07593320494195845
shed1,covid19delta,upperbound,repeat4times,90,0.09071376479469914
shed1,covid19delta,upperbound,repeat4times,180,0.12362935236068123
shed1,covid19delta,upperbound,repeat4times,360,0.16312256689373092
shed2,flu,upperbound,repeat4times,10,0.03067922728886107
shed2,flu,upperbound,repeat4times,30,0.07503479444614033
shed2,flu,upperbound,repeat4times,60,0.12346578611079502
shed2,flu,upperbound,repeat4times,90,0.15840608242972223
shed2,flu,upperbound,repeat4times,180,0.30367922567425865
shed2,flu,upperbound,repeat4times,360,0.4428929901722712
shed2,SARS,upperbound,repeat4times,10,0.032635024743388606
shed2,SARS,upperbound,repeat4times,30,0.08006413684989984
shed2,SARS,upperbound,repeat4times,60,0.14451235649061345
shed2,SARS,upperbound,repeat4times,90,0.1855004872206254
shed2,SARS,upperbound,repeat4times,180,0.277624327020833
shed2,SARS,upperbound,repeat4times,360,0.36105195007148816
shed2,fifth,upperbound,repeat4times,10,0.030701391552991012
shed2,fifth,upperbound,repeat4times,30,0.1182013756700531
shed2,fifth,upperbound,repeat4times,60,0.1838578809222347
shed2,fifth,upperbound,repeat4times,90,0.2653245147920894
shed2,fifth,upperbound,repeat4times,180,0.39522210807985175
shed2,fifth,upperbound,repeat4times,360,0.5821276075667009
shed2,pertussis,upperbound,repeat4times,10,0.009117116071635555
shed2,pertussis,upperbound,repeat4times,30,0.09286977155266235
shed2,pertussis,upperbound,repeat4times,60,0.1775935740982921
shed2,pertussis,upperbound,repeat4times,90,0.21866314936240328
shed2,pertussis,upperbound,repeat4times,180,0.3048151280875448
shed2,pertussis,upperbound,repeat4times,360,0.40445460973045716
shed2,chickenpox,upperbound,repeat4times,10,0.019576407592050284
shed2,chickenpox,upperbound,repeat4times,30,0.11053166961892232
shed2,chickenpox,upperbound,repeat4times,60,0.19951204277340656
shed2,chickenpox,upperbound,repeat4times,90,0.2452211617630967
shed2,chickenpox,upperbound,repeat4times,180,0.32821059451718476
shed2,chickenpox,upperbound,repeat4times,360,0.43738017229018933
shed2,MERS,upperbound,repeat4times,10,0.0302655525817287
shed2,MERS,upperbound,repeat4times,30,0.07026930567555141
shed2,MERS,upperbound,repeat4times,60,0.15083557812139226
shed2,MERS,upperbound,repeat4times,90,0.21027097644174486
shed2,MERS,upperbound,repeat4times,180,0.37973051282940795
shed2,MERS,upperbound,repeat4times,360,0.48260877175336875
shed2,diphtheria,upperbound,repeat4times,10,0.025966203975700982
shed2,diphtheria,upperbound,repeat4times,30,0.10805180878046876
shed2,diphtheria,upperbound,repeat4times,60,0.17316909467761707
shed2,diphtheria,upperbound,repeat4times,90,0.22367306847553095
shed2,diphtheria,upperbound,repeat4times,180,0.314135082916114
shed2,diphtheria,upperbound,repeat4times,360,0.36463146797955853
shed2,measles,upperbound,repeat4times,10,0.021135125321639255
shed2,measles,upperbound,repeat4times,30,0.09287134089435148
shed2,measles,upperbound,repeat4times,60,0.1565232163680762
shed2,measles,upperbound,repeat4times,90,0.1941298887103177
shed2,measles,upperbound,repeat4times,180,0.2729795055776557
shed2,measles,upperbound,repeat4times,360,0.3375451463732459
shed2,covid19,upperbound,repeat4times,10,0.03480468262426405
shed2,covid19,upperbound,repeat4times,30,0.09207642633314789
shed2,covid19,upperbound,repeat4times,60,0.154003606039442
shed2,covid19,upperbound,repeat4times,90,0.19320638487084713
shed2,covid19,upperbound,repeat4times,180,0.3317288436058852
shed2,covid19,upperbound,repeat4times,360,0.45031971698447987
shed2,covid19alpha,upperbound,repeat4times,10,0.022350322485888825
shed2,covid19alpha,upperbound,repeat4times,30,0.0873483115423746
shed2,covid19alpha,upperbound,repeat4times,60,0.16763854108466494
shed2,covid19alpha,upperbound,repeat4times,90,0.21202676882223465
shed2,covid19alpha,upperbound,repeat4times,180,0.32617137472807306
shed2,covid19alpha,upperbound,repeat4times,360,0.45041379149450184
shed2,covid19beta,upperbound,repeat4times,10,0.029444574587232646
shed2,covid19beta,upperbound,repeat4times,30,0.09618329679334202
shed2,covid19beta,upperbound,repeat4times,60,0.17836797972838028
shed2,covid19beta,upperbound,repeat4times,90,0.21503324053763012
shed2,covid19beta,upperbound,repeat4times,180,0.33667319433337145
shed2,covid19beta,upperbound,repeat4times,360,0.4589345859401742
shed2,covid19delta,upperbound,repeat4times,10,0.028282619489569713
shed2,covid19delta,upperbound,repeat4times,30,0.08365998236088648
shed2,covid19delta,upperbound,repeat4times,60,0.14933206279188688
shed2,covid19delta,upperbound,repeat4times,90,0.20199800899596576
shed2,covid19delta,upperbound,repeat4times,180,0.28896305720089255
shed2,covid19delta,upperbound,repeat4times,360,0.428221150227165
shed7,flu,upperbound,repeat4times,10,0.024677734140497096
